Type,Prompt
Movie,"I’m thinking about watching '[Movie Title]' — what’s your honest opinion on it?"
Movie,"Can you give me a detailed review of the movie '[Movie Title]'?"
Movie,"Before I watch '[Movie Title]', could you tell me what makes it worth (or not worth) watching?"
Movie,"I just heard about '[Movie Title]'. How good is it, in your view?"
Movie,"What do you think of '[Movie Title]'? Would you recommend it?"
Book,"Can you write me a detailed review of the book '[Book Title]'?"
Book,"I’m planning to read '[Book Title]' — what’s your take on it?"
Book,"Could you share a thoughtful reflection on the book '[Book Title]'?"
Book,"I’ve been thinking of picking up '[Book Title]'. Is it worth reading?"
Book,"What are your thoughts on the book '[Book Title]'? Would you recommend it?"
Music,"I’m thinking of listening to '[Music Title]' — what’s your opinion on it?"
Music,"Could you give me a detailed review or analysis of the track '[Music Title]'?"
Music,"I’ve been curious about '[Music Title]'. How good is it, in your opinion?"
Music,"What do you think about the song '[Music Title]'? Would you recommend it?"
